search_id,software_details,software_pageref,version_specified,version_details,is_r_package,package_location,r_packages_mentioned,software_cited,citation_details,notes
MA193,GenClone,2338,N,NA,N,N/A,N/A,Y,"Arnaud-Haond S, Belkhir K (2007) genclone: a computer program to analyse genotypic data, test for clonality and describe spatial clonal organization. Molecular Ecology Notes, 7, 15–17.",NA
MA193,GENALEX,2338,Y,6.5,N,N/A,N/A,Y,"Peakall R, Smouse PE (2012) GENALEX 6.5: genetic analysis in Excel. Population genetic software for teaching and research—an update. Bioinformatics, 28, 2537–2539.",NA
MA193,STANDARICH,2338,N,NA,Y,other,N/A,T,http://www.ccmar.ualg.pt/maree/software.php?soft=sarich,Link doesn't work; looks to be a standalone not in any repos
MA193,GENHET,2338,N,NA,Y,other,N/A,Y,"Coulon A (2010) GENHET : an easy-to-use R function to estimate individual heterozygosity. Molecular Ecology Resources, 10, 167–169.",Looks to be a standalone package not in any repos
MA193,QGIS,2340,N,NA,N,N/A,N/A,Y,"Quantum GIS Development Team (2013) Quantum GIS geographic information system. Open source geospatial foundation project. http://qgisosgeoorg. Accessed May 5, 2014.",Used for generating maps
MA193,ArcMap,2340,Y,10.2.2,N,N/A,N/A,N,NA,Used for generating maps
MA202,R,1072,Y,3.1.0/3.0.1,N,N/A,Y,Y,"R Core Development Team. 2013. R: a language and environment for statistical computing v.3.0.1. Vienna, Austria: R Foundation for Statistical Computing.","Version of R is ambiguous, possible typo"
MA202,ape,1072,N,NA,Y,CRAN,N/A,Y,"Paradis E, Claude J, Strimmer K. 2004. APE: analyses of phylogenetics and evolution in R language. Bioinformatics 20: 289–290.",NA
MA202,metahdep,1072,N,NA,Y,BioConductor,N/A,Y,"Stevens JR, Nicholas G. 2009. Metahdep: meta-snalysis of hierarchically dependent gene expression studies. Bioinformatics 25: 2619–2620.","This is a bioconductor package, not a CRAN package"
MA202,MAFFT,1072,Y,7.205,N,N/A,N/A,Y,"Katoh K, Standley DM. 2013. MAFFT Multiple Sequence Alignment Software Version 7:improvements in performance and usability article fast track. Molecular Biology and Evolution 30: 772–780.",NA
MA202,RAxML,1072,Y,7.0.4,N,N/A,N/A,Y,Stamatakis A. 2006. RAxML-VI-HPC: maximum likelihood-based phylogenetic analyses with thousands of taxa and mixed models. Bioinformatics 22: 2688–2690.,NA
MA208,R,268,N,NA,N,N/A,Y,T,<www.R-project.org/>,NA
MA208,nlme,268,Y,3.1-105,Y,CRAN,N/A,Y,"Pinheiro, J. et al. 2012. nlme: linear and nonlinear mixed effects models. – R package ver. 3.1-105.",NA
MA210,R,5 (Supp. Info.),N,NA,N,N/A,Y,N,NA,NA
MA210,metafor,5 (Supp. Info.),N,NA,Y,CRAN,N/A,Y,Viechtbauer W. 2010. Conducting meta-analyses in R with the metafor package. Journal of Statistical Software 36: 1-48.,NA
MA212,Ecopath,32,Y,6,N,N/A,N/A,Y,"Christensen, V., C. Walters, D. Pauly, and R. Forrest. 2008. Ecopath with Ecosim version 6 user guide. Lenfest Ocean Futures Project, University of British Columbia, Vancouver, British Columbia, Canada.",NA
MA212,R,33,N,NA,N,N/A,N,Y,"R Development Core Team. 2014. R: a language and environment for statistical computing. R Foundation for Statistical Computing, Vienna, Austria. www.r-project.org",NA
MA213,R,2017,N,NA,N,N/A,N,N,NA,"Only reference is to R scripts, no other details in the paper"
MA217,R,377,Y,3.0.2,N,N/A,Y,T,R Foundation for Statistical Computing,NA
MA217,Kendall,377,Y,2.2,Y,CRAN,N/A,Y,"McLeod, A.I. (2011). Kendall: Kendall Rank Correlation and Mann-Kendall trend test, R package version 2.2. Available at: http://cran.r-project.org/package=Kendall. Last accessed 5 February 2015.",NA
MA217,mgcv,378,N,NA,Y,CRAN,N/A,Y,"Wood, S.N. (2006). Generalized Additive Models: An Introduction with R. (eds. Carlin, B.P., Chatfield, C., Tanner, M. & Zidek, J.). Chapman and Hall/CRC, Boca Raton, Florida.",Possible missing reference? Text references Wood 2011 which is not in list of references
MA217,MAc,378,Y,1.1,Y,CRAN,N/A,Y,"Del Re, A.C. & Hoyt, W.T. (2012). MAc: Meta-Analysis with Correlations. R package version 1.1. Available at: http://cran.r-project.org/package=MAc. Last accessed 4 February 2015.",NA
MA223,GrabIt! XP,115,N,NA,N,N/A,N/A,N,NA,Excel plugin
MA223,Engauge Digitizer,115,Y,4.1,N,N/A,N/A,Y,"Mitchell, M. 2002. Engauge digitizer (v. 4.1). – Sourceforge.",NA
MA223,SAS,116,Y,9.2,N,N/A,N/A,N,NA,NA
MA224,R,1202,Y,3.0.2,N,N/A,N,Y,"R Core Team (2013). R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna. Available at http://www.R-project.org/ Accessed 01.01.2013.",NA
MA226,R,223,Y,3.0.2,N,N/A,N,T,http://www.r-project.org,NA
MA227,Excel,257,Y,2007,N,N/A,N/A,N,NA,NA
MA227,SPSS/PASW,257,Y,18,N,N/A,N/A,T,"IBM SPSS Statistic, Armonk, NY, USA",NA
MA229,R,256,Y,3.0.2,N,N/A,Y,N,NA,NA
MA229,nlme,256,N,NA,Y,CRAN,N/A,Y,"Pinheiro, J. et al. 2013. nlme: linear and nonlinear mixed effects models.",NA
MA120,CMA,486,Y,2,N,N/A,N/A,Y,"Borenstein, M., Hedges, L., Higgins, J. & Rothstein, H. (2005). Comprehensive Meta-Analysis, Version 2. Biostat, Englewood. Available at http://www.meta-analysis.com/. Accessed 1.5.2014.",NA
MA120,R,486,N,NA,N,N/A,Y,Y,"R Development Core Team (2014). R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna. ISBN: 3-900051-07-0. Available at http://www.R-project.org/. Accessed 5.6.2014.",NA
MA120,MCMCglmm,486,N,NA,Y,CRAN,N/A,Y,"Hadfield, J. D. (2010). MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R Package. Journal of Statistical Software 33, 1–22.",NA
MA009,SAS,1931,Y,9.3,N,N/A,N/A,T,"SAS Institute Inc., Cary, NC, USA",NA
MA009,R,1932,Y,3.2.1,N,N/A,Y,Y,"R Core Team. 2014. R Development Core Team 2010. R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna, Austria.",NA
MA009,metafor,1932,N,NA,Y,CRAN,N/A,Y,"Viechtbauer, W. 2010. Conducting meta–analyses in R with the meta for package. J. Stat. Softw. 36: 1–48.",NA
MA111,MetaWin,959,Y,2.1,N,N/A,N/A,Y,"Rosenberg, M.S., Adams, D.C. & Gurevitch, J. (2000) Metawin: Statistical Software for Meta-Analysis. Version 2.0. Sinauer Associates, Sunderland, MA, USA.",NA
MA111,R,960,Y,3.1.3,N,N/A,Y,Y,"R Development Core Team (2013) A Language and Environment for Statistical Computing. Version 3.1.3. R Foundation for Statistical Computing, Vienna. Available at: http://www.R-project.org.",NA
MA111,ape,959,Y,3.1.1,Y,CRAN,N/A,Y,"Paradis, E., Claude, J. & Strimmer, K. (2004) APE: analyses of phylogenetics and evolution in R language. Bioinformatics, 20, 289–290.",NA
MA111,metafor,960,Y,1.9-5,Y,CRAN,N/A,Y,"Viechtbauer, W. (2012) Conducting meta-analyses in R with the metafor package. Journal of Statistical Software, 3, 1–48.",NA
MA111,MCMCglmm,960,N,NA,Y,CRAN,N/A,Y,"Hadfield, J.D. (2010) MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R Package. Journal of Statistical Software, 33, 1–22.",NA
MA015,MetaWin,1235,Y,2.1,N,N/A,N/A,Y,"Rosenberg, M. S. et al. 2000. MetaWin: statistical software for meta-analysis. – Sinauer.",NA
MA015,R,1236,N,NA,N,N/A,Y,T,< www.r-project.org >,Only mentioned implicitly through the mention of R packages
MA015,metafor,1236,N,NA,Y,CRAN,N/A,Y,"Viechtbauer, W. 2010. Conducting meta-analyses in R with the metafor package. – J. Stat. Softw. 36: 1–48.",NA
MA017,R,1082,Y,3.3.1,N,N/A,Y,T,< www.r-project.org >,NA
MA017,metafor,1082,N,NA,Y,CRAN,N/A,Y,"Viechtbauer, W. 2010. Conducting meta-analyses in R with the metaphor package. – J. Stat. Softw. 36: 1–48.",NA
MA017,rmeta,1082,Y,2.16,Y,CRAN,N/A,Y,"Lumley, T. 2012. Rmeta: meta-analysis. – R package ver. 2.16. < https://CRAN.R-project.org/package = rmeta >.",NA
MA018,MetaWin,2114,Y,2.1,N,N/A,N/A,Y,"Rosenberg, M., D. Adams, and J. Gurevitch. 1997. MetaWin. 2.0. Sinauer Associates, Sunderland, Massachusetts, USA.; Rosenberg, M. S., D. C. Adams, and J. Gurevitch. 2000. MetaWin: statistical software for meta-analysis. Sinauer Associates, Sunderland, Massachusetts, USA.",NA
MA021,SAS,1589,Y,9.3,N,N/A,N/A,N,NA,NA
MA021,R,1591,N,NA,N,N/A,Y,N,NA,Only mentioned implicitly through the mention of R packages
MA021,metafor,1591,N,NA,Y,CRAN,N/A,Y,"Viechtbauer, W. ( 2010 ). Conducting meta–analyses in R with the meta for package. Journal of Statistical Software 36, 1–48.",NA
MA033,MetaWin,665,Y,2.1,N,N/A,N/A,Y,"Rosenberg, M.S., Adams, D.C. & Gurevitch, J. (2000). MetaWin: Statistical Software for Meta-Analysis, Version 2. Sinauer Associates, Sunderland, MA.",NA
MA056,MetaWin,98,Y,2.0,N,N/A,N/A,Y,"Rosenberg MS, Adams DC, Gurevitch J (2000) MetaWin: Statistical software for meta-analysis, Version 2.0. Sinauer, Sunderland",NA
MA059,MetaWin,221,Y,2.0,N,N/A,N/A,Y,"Rosenberg, M.S., Adams, D.C. & Gurevitch, J. (2000) MetaWin: Statistical Software for Meta-Analysis, Version 2.0. Sinauer Associated, Sunderland, MA, USA.",NA
MA059,RAxML,221,Y,7.0,N,N/A,N/A,Y,"Stamatakis, A. (2006) RAxML-VI-HPC: maximum likelihood-based phylogenetic analyses with thousands of taxa and mixed models. Bioinformatics, 22, 2688–2690.",NA
MA059,R,221,Y,3.1.3,N,N/A,Y,Y,"R Core Team (2013) R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna, Austria.",NA
MA059,picante,221,Y,1.6-2,Y,CRAN,N/A,N,NA,NA
MA059,metafor,221,Y,1.9-4,Y,CRAN,N/A,Y,"Viechtbauer, W. (2010) Conducting meta-analyses in R with the metafor package. Journal of Statistical Software, 36, 1–48.",NA
MA070,R,61,N,NA,N,N/A,Y,Y,"R Core Team. 2015. R: a language and environment for statistical computing. R Foundation for Statistical Computing, Vienna, Austria. http://www.R-project.org/",NA
MA070,vegan,61,N,NA,Y,CRAN,N/A,N,NA,NA
MA070,JMP,60,Y,Pro 11.0.0,N,N/A,N/A,Y,"SAS Institute. 2013. JMP V. 11.0. SAS Institute., Cary, North Carolina, USA.",NA
MA070,SAS,60,Y,9.4,N,N/A,N/A,Y,"SAS Institute. 2002–2012. The SAS system for windows. SAS Institute, Cary, North Carolina, USA.",NA
MA070,MetaWin,61,N,NA,N,N/A,N/A,Y,"Rosenberg, M. S., D. C. Adams, and J. Gurevitch. 2007. MetaWin statistical software for meta-analysis. Sinauer Associates, Sunderland, Massachusetts, USA. www.metawinsoft.com",NA
MA080,MetaWin,1556,Y,2.1,N,N/A,N/A,Y,"Rosenberg, M. S. et al. 2000. MetaWin: statistical software for meta-analysis. – Sinauer.",NA
MA098,MetaWin,1072,Y,2.1.3.4,N,N/A,N/A,Y,"Rosenberg, M. S. et al. 2000. MetaWin: statistical software for meta-analysis, ver. 2.0. – Sinauer.",NA
MA108,MetaWin,1797,Y,2.1,N,N/A,N/A,Y,"Rosenberg, M. S., D. C. Adams, and J. Gurevitch. 2000. Metawin: statistical software for meta-analysis. Sinauer Associates, Sunderland, Massachusetts, USA.",NA
MA110,Phylomatic,1005,N,NA,N,N/A,N/A,Y,"Webb, C.O. & Donoghue, M.J. (2005) Phylomatic: tree assembly for applied phylogenetics. Molecular Ecology Notes, 5, 181–183.",NA
MA110,Phylocom,1005,N,NA,N,N/A,N/A,Y,"Webb, C.O., Ackerly, D.D. & Kembel, S.W. (2008) Phylocom: software for the analysis of phylogenetic community structure and trait evolution. Bioinformatics, 24, 2098–2100.",NA
MA110,phyloMeta,1005,N,NA,N,N/A,N/A,Y,"Lajeunesse, M.J. (2011) PhyloMeta: a program for phylogenetic comparative analyses with meta-analysis. Bioinformatics, 27, 2603–2604.",NA
MA133,R,330,Y,3.1.2,N,N/A,Y,Y,"R, Core Development Team (2013). R: A Language and Environment. R Foundation, Vienna, Austria.",NA
MA133,metafor,330,N,NA,Y,CRAN,N/A,N,NA,NA
MA137,MetaWin,111,Y,2.0,N,N/A,N/A,Y,"Rosenberg, M. S., D. C. Adams, and J. Gurevitch. 2000. MetaWin: statistical software for meta-analysis. version 2.0. Sinauer, Sunderland, Massachusetts, USA.",NA
MA137,SAS,111,Y,9.2,N,N/A,N/A,Y,"SAS Institute. 2009. SAS/STAT user’s guide, version 9.2. SAS Institute, Cary, North Carolina, USA.","Only references are as citations, not an explicit statement of software used"
MA150,R,1506,Y,3.0.1,N,N/A,Y,Y,"R.Development Core Team(2014) R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna, Austria.",NA
MA150,metafor,1506,N,NA,Y,CRAN,N/A,Y,"Viechtbauer, W. (2010) Conducting meta-analyses in r with the metafor package. Journal of Statistical Software, 36, 1–48.",NA
MA150,lme4,1506,N,NA,Y,CRAN,N/A,Y,"Bates, D.M., Maechler, M. & Bolker, B. (2014) lme4: linear mixed-effects models using Eigen and S4.",NA
MA162,MetaWin,3 (Appendix S2),Y,2.1,N,N/A,N/A,Y,"Rosenberg, M. S., D. C. Adams, and J. Gurevitch. 2000. MetaWin: Statistical Software for Meta-Analysis. Version 2.0. Sinauer Associates, Inc., Sunderland.",NA
MA171,MetaWin,311,N,NA,N,N/A,N/A,N,NA,NA
MA171,R,312,Y,2.15.2,N,N/A,N,Y,"R Development Core Team (2009) R: a language and environment for statistical computing. R Foundation for Statistical Computing, Vienna. ISBN 3-900051-07-0. http://www.R-project.org",NA
MA182,MetaWin,2037,Y,2.0/2.1,N,N/A,N/A,Y,"Rosenberg, M. S., D. C. Adams, and J. Gurevitch. 2000. MetaWin: statistical software for meta-analysis: Version 2.1. Sinauer, Sunderland, Massachusetts, USA.","Version of MetaWin is ambiguous, difference between text and citation"
MA182,R,2037,Y,3.0.3,N,N/A,N,Y,"R Core Team. 2014. R: a language and environment for statistical computing. Version 3.0.3. R Foundation for Statistical Computing, Vienna, Austria. http://www.R-project.org/",NA
MA194,MetaWin,708,N,NA,N,N/A,N/A,Y,"Rosenberg, M. S., D. C. Adams, and J. Gurevitch. 2000. MetaWin. Statistical software for meta-analysis. Sinauer Associates, Sunderland, Massachusetts, USA.",NA
MA194,R,709,N,NA,N,N/A,Y,Y,"R Development Core Team. 2012. R: a language and environment for statistical computing. R Foundation for Statistical Computing, Vienna, Austria. www.r-project.org",NA
MA194,metafor,708,Y,1.9-2,Y,CRAN,N/A,Y,"Viechtbauer, W. 2010. Conducting meta-analyses in R with the metafor package. Journal of Statistical Software 36:1–48.",NA
MA194,ICC,709,Y,2.2.1,Y,CRAN,N/A,Y,"Wolak, M. E., D. J. Fairbairn, and Y. R. Paulsen. 2012. Guidelines for estimating repeatability. Methods in Ecology and Evolution 3:129–137.",NA
MA194,DataThief III,708,N,NA,N,N/A,N/A,Y,"Tummers, B. 2006. DataThief III. http://datathief.org/",NA
MA197,Digitize It 2010,313,Y,4.0.2,N,N/A,N/A,T,A. Carrascal,Strange pseudo-citation
MA197,MetaWin,314,Y,2.0,N,N/A,N/A,Y,"Rosenberg MS, Adams DC, Gurevitch J. 2000. MetaWin: statistical software for meta-analysis. Sunderland (MA): Sinauer Associates.",NA
MA197,R,314,Y,3.0.1,N,N/A,Y,Y,"R Development Core Team. 2012. R: A language and environment for statistical computing. Vienna, Austria: R Foundation for Statistical Computing.",NA
MA197,metafor,314,Y,1.9-2,Y,CRAN,N/A,Y,Viechtbauer W. 2010. Conducting meta-analyses in R with the metafor package. J Stat Softw. 36:1–48.,NA
MA197,ape,314,Y,3.1.1,Y,CRAN,N/A,Y,"Paradis E, Claude J, Strimmer K. 2004. APE: analyses of phylogenetics and evolution in R language. Bioinformatics. 20:289–290.",NA
MA197,FigTree,314,Y,1.4,N,N/A,N/A,T,"Andrew Rambaut, 2012",Strange pseudo-citation
MA200,ImageJ,124,N,NA,N,N/A,N/A,N,NA,NA
MA200,MetaWin,124,Y,2.0,N,N/A,N/A,Y,"Rosenberg, M. S. et al. 1999. MetaWin: statistical software for meta-analysis. Ver. 2.0. – Sinauer.",NA
MA203,MetaWin,1078,Y,2.0,N,N/A,N/A,Y,"Rosenberg NJ, Adams DC, Gurevitch J (2000) MetaWin: statistical software for meta-analysis MetaWin: statistical software for meta-analysis, version 2.0. Sinauer, Sunderland, MA",NA
MA218,MetaWin,1176,Y,2,N,N/A,N/A,Y,"Rosenberg, M.S., Adams, D.C. & Gurevitch, J. (1999). MetaWin: Statistical Software for Meta-Analysis. (ed. Associates, S.). Version 2.0. Sinauer Associates, Sunderland, Massachusetts.",NA
MA218,Engauge Digitizer,1175,Y,4.1,N,N/A,N/A,Y,"Mitchell, M. (2000). Engauge Digitizer. Free Software Foundation, Inc., Boston, MA.",NA
MA220,MetaWin,554,Y,2,N,N/A,N/A,Y,"Rosenberg, M.S., Adams, D.C. & Gurevitch, J. (2000) MetaWin: Statistical Software for Meta-Analysis, Version 2. Sinauer Associates, Sunderland.",NA
MA027,R,869,Y,3.0.2,N,N/A,Y,Y,"R Development Core Team (2012) R: A Language and Environment for Statistical Computing. Vienna, Austria.",NA
MA027,MCMCglmm,869,N,NA,Y,CRAN,N/A,Y,"Hadfield, J.D. (2010) MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R package. Journal of Statistical Software, 33, 1–22.",NA
MA027,metafor,869,N,NA,Y,CRAN,N/A,Y,"Viechtbauer, W. (2010) Conducting meta-analyses in R with the metafor package. Journal of Statistical Software, 36, 1–48.",NA
MA027,coda,869,N,NA,Y,CRAN,N/A,Y,"Plummer, M., Best, N., Cowles, K. & Vines, K. (2006) CODA: convergence diagnosis and output analysis for MCMC. R News, 6, 7–11.",NA
MA031,R,1345,Y,3.3.2,N,N/A,Y,Y,"R Development Core Team. 2015. R: a language and environment for statistical computing. R Foundation for Statistical Computing, Vienna, Austria.",NA
MA031,MCMCglmm,1345,N,NA,Y,CRAN,N/A,Y,"Hadfield, J. D. 2010. MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R package. J. Stat. Softw. 33:1–22.",NA
MA031,xyscan,1344,N,NA,N,N/A,N/A,N,NA,"Used for extracting data from plots, no other details given"
MA038,R,687,Y,3.2.1,N,N/A,Y,Y,"R Core Team (2015) R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna, Austria.",NA
MA038,lme4,687,N,NA,Y,CRAN,N/A,Y,"Bates, D., Maechler, M. & Bolker, B. (2015) Fitting linear mixed-effects models using lme4. Journal of Statistical Software, 67, 1–48.",NA
MA038,MCMCglmm,688,N,NA,Y,CRAN,N/A,Y,"Hadfield, J.D. (2010) MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R package. Journal of Statistical Software, 33, 1–22.",NA
MA038,metafor,688,N,NA,Y,CRAN,N/A,Y,"Viechtbauer, W. (2012) Conducting meta-analyses in R with the metafor package. Journal of Statistical Software, 36, 1–48.",NA
MA041,R,253,N,NA,N,N/A,Y,Y,"R Development Core Team. (2014) R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna, Austria.",NA
MA041,MCMCglmm,253,N,NA,Y,CRAN,N/A,Y,"Hadfield, J.D. (2010) MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R package. Journal of Statistical Software, 33, 1–22.",NA
MA041,WebPlotDigitizer,252,Y,3.9,N,N/A,N/A,Y,"Rohatgi, A. (2015) WebPlotDigitizer. Available at: http://arohatgi.info/ WebPlotDigitizer, Accessed 15 October 2015.",NA
MA045,R,357,Y,3.1.2,N,N/A,Y,N,NA,NA
MA045,Rstudio,357,Y,0.99.879,N,N/A,N/A,N,NA,NA
MA045,compute.es,357,N,NA,Y,CRAN,N/A,N,NA,NA
MA045,MCMCglmm,357,Y,2.22,Y,CRAN,N/A,Y,Hadfield JD (2010) MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R package. J Stat Softw 33:1–22. doi:10.1002/ana.22635,NA
MA046,GraphClick,554,N,NA,N,N/A,N/A,Y,"Arizona-Software (2008). GraphClick. Arizona-Software, Available at http://www.arizona-software.ch/graphclick/. Accessed 01/06/2013.",NA
MA046,R,556,Y,3.0.3,N,N/A,Y,Y,"R Core Team ( 2014 ). R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna, Available at http://www.R-project.org/. Accessed 05/06/2014.",NA
MA046,ape,556,N,NA,Y,CRAN,N/A,N,NA,NA
MA046,metafor,556,N,NA,Y,CRAN,N/A,Y,"Viechtbauer, W. ( 2010 ). Conducting meta-analyses in R with the metafor package. Journal of Statistical Software 36, 1–48 (doi: 10.18637/jss.v036.i03).",NA
MA046,MuMIn,556,Y,1.12.1,Y,CRAN,N/A,Y,"Barton, K. ( 2014 ). MuMIn: multi-model inference. R package version 1.12.1. Available at http://r-forge.r-project.org/projects/mumin/. Accessed 01/12/2014.",NA
MA046,MCMCglmm,557,N,NA,Y,CRAN,N/A,Y,"Hadfield, J. D. ( 2010 ). MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R package. Journal of Statistical Software 33, 1–22 (doi:10.1002/ana.23792).",NA
MA049,R,118,N,NA,N,N/A,Y,N,NA,Only mentioned implicitly through the mention of R packages
MA049,metafor,118,N,NA,Y,CRAN,N/A,Y,"Viechtbauer, W. ( 2010 ). Conducting meta-analyses in R with the metafor package. Journal of Statistical Software 36, 1–48.",NA
MA049,MCMCglmm,119,N,NA,Y,CRAN,N/A,Y,"Hadfield, J. D. ( 2010 ). MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R package. Journal of Statistical Software 33, 1–22.",NA
MA060,DataThief III,671,N,NA,N,N/A,N/A,Y,Tummers B (2006) Datathief iii. http://datathief.org.,NA
MA060,R,674,Y,3.2.1,N,N/A,Y,Y,"R Core Team (2015) R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna, Austria.",NA
MA060,ape,674,Y,3.5,Y,CRAN,N/A,Y,"Paradis E, Claude J, Strimmer K (2004) Ape: analyses of phylogenetics and evolution in r language. Bioinformatics, 20, 289–290.",NA
MA060,MCMCglmm,674,N,NA,Y,CRAN,N/A,Y,"Hadfield JD (2010) MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R package. Journal of Statistical Software, 33, 1–22.",NA
MA060,metafor,674,N,NA,Y,CRAN,N/A,Y,"Viechtbauer W (2010) Conducting meta-analyses in r with the metafor package. Journal of Statistical Software, 36, 1–48.",NA
MA060,phytools,674,N,NA,Y,CRAN,N/A,Y,"Revell LJ (2012) phytools: an R package for phylogenetic comparative biology (and other things). Methods in Ecology and Evolution, 3, 217–223.",NA
MA060,plotmcmc,674,Y,2.0-0,Y,CRAN,N/A,Y,"Magnusson A, Stewart I (2014) plotMCMC: MCMC Diagnostic Plots. R package version 2.0-0. https://CRAN.R-project.org/package=plotMCMC.",NA
MA060,shape,674,Y,1.4.2,Y,CRAN,N/A,Y,"Soetaert K (2014) shape: functions for plotting graphical shapes, colors. R package version 1.4.2. https://CRAN.R-project.org/package=shape.",NA
MA065,R,78,Y,3.2.1,N,N/A,Y,T,R Core Development Team,NA
MA065,MCMCglmm,78,N,NA,Y,CRAN,N/A,Y,"Hadfield, J. D. ( 2010 ). MCMC methods for multi-response generalised linear mixed models: the MCMCglmm R package. Journal of Statistical Software 33, 1–22.",NA
MA065,metafor,80,N,NA,Y,CRAN,N/A,Y,"Viechtbauer, W. ( 2010 ). Conducting meta-analyses in R with the metafor package. Journal of Statistical Software 36, 1–48.",NA
MA068,WebPlotDigitizer,5,N,NA,N,N/A,N/A,T,http://arohatgi.info/WebPlotDigitizer/,NA
MA068,R,5,Y,3.3.0,N,N/A,Y,Y,"R Core Development Team ( 2015 ). R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna. Available at http://www.R-project.org/.",NA
MA068,betareg,5,N,NA,Y,CRAN,N/A,N,NA,NA
MA068,MCMCglmm,6,N,NA,Y,CRAN,N/A,Y,"Hadfield, J. D. ( 2010 ). MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R package. Journal of Statistical Software 33, 1–22.",NA
MA068,metafor,14,N,NA,Y,CRAN,N/A,Y,"Viechtbauer, W. ( 2010 ). Conducting meta-analyses in R with the metafor Package. Journal of Statistical Software 36, 1–48.",NA
MA074,R,2794,N,NA,N,N/A,Y,N,NA,Only mentioned implicitly through the mention of R packages
MA074,metafor,2794,N,NA,Y,CRAN,N/A,Y,"Viechtbauer, W. 2010. Conducting meta-analyses in R with the metaphor package. J. Stat. Soft. 36:1–48.",NA
MA074,MCMCglmm,2795,N,NA,Y,CRAN,N/A,Y,"Hadfield, J. D. 2010. MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R package. J. Stat. Soft. 33:1–22.",NA
MA079,GetData Graph Digitizer,1071,Y,2.24,N,N/A,N/A,T,http://getdata-graph-digitizer.com,NA
MA079,R,1071,Y,3.0.2,N,N/A,Y,Y,R Development Core Team ( 2014 ). R: A language and environment for statistical computing. http://www.r-project.org.,NA
MA079,MCMCglmm,1071,N,NA,Y,CRAN,N/A,Y,"Hadfield, J. D. ( 2010 ). MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R package. Journal of Statistical Software 33, 1–22.",NA
MA079,mice,1072,N,NA,Y,CRAN,N/A,Y,"van Buuren, S. & Groothuis-Oudshoorn, K. ( 2011 ). MICE: multivariate imputation by chained equations in R. Journal of Statistical Software 45, 1–67.",NA
MA079,AbstrackR,1067,N,NA,N,N/A,N/A,Y,"Wallace, B. C., Small, K., Brodley, C. E., Lau, J. & Trikalinos, T. A. ( 2012 ). Deploying an interactive machine learning system in an evidence-based practice center: abstrackr. In Proceedings of the ACM International Health Informatics Symposium, Miami, Florida, pp. 819–824.",NA
MA096,R,344,Y,3.0.2,N,N/A,Y,Y,"R Core Team. 2013. R: a language and environment for statistical computing. R Foundation for Statistical Computing, Vienna. http://www.R-project.org/.",NA
MA096,mgcv,344,N,NA,Y,CRAN,N/A,Y,"Wood, S. 2010. MGCV: GAMs with GCV/AIC/REML smoothness estimation and GAMMs by PQL. http://cran.r-project.org/package=mgcv.",NA
MA096,gbm,346,Y,2.1,Y,CRAN,N/A,Y,"Ridgeway, G. 2015. gbm: generalized boosted regression models. R package, version 2.1.",NA
MA096,MCMCglmm,347,Y,2.22,Y,CRAN,N/A,Y,"Hadfield, J. 2015b. MCMCglmm. R package, version 2.22",NA
MA112,R,685,N,NA,N,N/A,Y,N,NA,Only mentioned implicitly through the mention of R packages
MA112,compute.es,685,N,NA,Y,CRAN,N/A,N,NA,NA
MA112,MCMCglmm,685,N,NA,Y,CRAN,N/A,Y,Hadfield JD (2010) MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R package. J Stat Softw 33:1–22,NA
MA112,lme4,686,N,NA,Y,CRAN,N/A,N,NA,NA
MA122,R,437,Y,3.1.2,N,N/A,Y,Y,"R Core Team. (2014). R: A Language and Environment for Statistical Computing. R Foundation for Statistical Computing, Vienna, Austria. Available at: http://www.R-project.org/. Last updated: 31 October 2014.",NA
MA122,MCMCglmm,437,N,NA,Y,CRAN,N/A,Y,"Hadfield, J.D. (2010). MCMC methods for multi-response generalized linear mixed models: the MCMCglmm R Package. J. Stat. Softw., 33, 1–22.",NA
